variant,horizon_bars,y_true,y_pred
thetaBiquatBasis,4,114780.11,113121.93745509401
raw,4,115099.99,114713.83
thetaBiquatBasis,4,115099.99,113084.5880196989
raw,4,115002.72,114582.26
thetaBiquatBasis,4,115002.72,112858.82142682184
raw,4,115221.22,114611.82
thetaBiquatBasis,4,115221.22,112856.36037929462
raw,4,115399.66,114780.11
thetaBiquatBasis,4,115399.66,112996.33529139165
raw,4,115493.8,115099.99
thetaBiquatBasis,4,115493.8,113057.69134461871
raw,4,115429.93,115002.72
thetaBiquatBasis,4,115429.93,112850.33268674734
raw,4,115399.67,115221.22
thetaBiquatBasis,4,115399.67,112925.93867127801
raw,4,115320.72,115399.66
thetaBiquatBasis,4,115320.72,112927.2894636555
raw,4,115290.7,115493.8
thetaBiquatBasis,4,115290.7,112895.02099928982
raw,4,115212.11,115429.93
thetaBiquatBasis,4,115212.11,113045.96591955604
raw,4,115254.23,115399.67
thetaBiquatBasis,4,115254.23,113079.54631662334
raw,4,114801.34,115320.72
thetaBiquatBasis,4,114801.34,112841.87342972634
raw,4,114950.0,115290.7
thetaBiquatBasis,4,114950.0,112815.81778672207
raw,4,115113.08,115212.11
thetaBiquatBasis,4,115113.08,112661.06579943476
raw,4,115127.04,115254.23
thetaBiquatBasis,4,115127.04,112638.83816717577
raw,4,114986.55,114801.34
thetaBiquatBasis,4,114986.55,112815.48967301709
raw,4,114884.69,114950.0
thetaBiquatBasis,4,114884.69,112888.98045907317
raw,4,114794.43,115113.08
thetaBiquatBasis,4,114794.43,112680.09185781475
raw,4,114810.62,115127.04
thetaBiquatBasis,4,114810.62,112761.52162675365
raw,4,114550.0,114986.55
thetaBiquatBasis,4,114550.0,112793.67334490133
raw,4,113643.33,114884.69
thetaBiquatBasis,4,113643.33,112771.8886612424
raw,4,114082.25,114794.43
thetaBiquatBasis,4,114082.25,112909.77317361446
raw,4,114180.0,114810.62
thetaBiquatBasis,4,114180.0,112954.11782531883
raw,4,114377.05,114550.0
thetaBiquatBasis,4,114377.05,112729.03679492066
raw,4,114353.92,113643.33
thetaBiquatBasis,4,114353.92,112680.01550288568
raw,4,114521.39,114082.25
thetaBiquatBasis,4,114521.39,112534.29162518782
raw,4,114412.26,114180.0
thetaBiquatBasis,4,114412.26,112526.95491914597
raw,4,114372.06,114377.05
thetaBiquatBasis,4,114372.06,112714.98207405415
raw,4,114345.7,114353.92
thetaBiquatBasis,4,114345.7,112801.32096176341
raw,4,114952.06,114521.39
thetaBiquatBasis,4,114952.06,112625.05894603473
raw,4,115345.79,114412.26
thetaBiquatBasis,4,115345.79,112660.11550373405
raw,4,114965.27,114372.06
thetaBiquatBasis,4,114965.27,112705.53619874049
raw,4,114318.48,114345.7
thetaBiquatBasis,4,114318.48,112665.69774070266
raw,4,114547.0,114952.06
thetaBiquatBasis,4,114547.0,112746.7934031481
raw,4,114036.63,115345.79
thetaBiquatBasis,4,114036.63,112813.52950738305
raw,4,114418.31,114965.27
thetaBiquatBasis,4,114418.31,112724.90248128829
raw,4,114259.37,114318.48
thetaBiquatBasis,4,114259.37,112783.23855757527
raw,4,114174.85,114547.0
thetaBiquatBasis,4,114174.85,112816.28280381845
raw,4,114312.1,114036.63
thetaBiquatBasis,4,114312.1,112703.73260063275
raw,4,114912.79,114418.31
thetaBiquatBasis,4,114912.79,112760.71532468832
raw,4,114457.27,114259.37
thetaBiquatBasis,4,114457.27,112833.884697891
raw,4,114392.02,114174.85
thetaBiquatBasis,4,114392.02,112719.57636091
raw,4,114669.24,114312.1
thetaBiquatBasis,4,114669.24,112744.86397134638
raw,4,114575.17,114912.79
thetaBiquatBasis,4,114575.17,112783.90721358296
raw,4,114546.0,114457.27
thetaBiquatBasis,4,114546.0,112756.85385768085
raw,4,114458.37,114392.02
thetaBiquatBasis,4,114458.37,112772.82579260635
raw,4,115040.55,114669.24
thetaBiquatBasis,4,115040.55,112810.18104023785
raw,4,114751.33,114575.17
thetaBiquatBasis,4,114751.33,112785.00386524177
raw,4,115258.4,114546.0
thetaBiquatBasis,4,115258.4,112881.97885368246
raw,4,115205.07,114458.37
thetaBiquatBasis,4,115205.07,112902.37028783927
raw,4,115160.63,115040.55
thetaBiquatBasis,4,115160.63,112776.81874329352
raw,4,115268.95,114751.33
thetaBiquatBasis,4,115268.95,112846.31142219758
raw,4,115602.3,115258.4
thetaBiquatBasis,4,115602.3,112974.90394136202
raw,4,115700.05,115205.07
thetaBiquatBasis,4,115700.05,112871.78473717238
raw,4,115792.84,115160.63
